pic_ID,symbol_word,symbol_coordinates,other_words
0/127700.jpg,danger,"[131.0, 103.0, 266.0, 297.0, 'danger/accident']","['danger/accident', 'DANGEROUS/ACCIDENT', 'Injury/Impairment', 'Harm', 'drunk driving/ accident']"
10/175963.png,risk,"[319.0, 248.0, 444.0, 405.0, 'Risk/Daring']","['Risk/Daring', 'Danger/Adventure', 'danger/risk', 'fashion/heights', 'Effortless/Free/In control']"
5/127945.jpg,danger,"[493.0, 377.0, 332.0, 105.0, 'Danger/Death']","['mute/self consumed', 'conforming', 'Danger/Death', 'Inattentiveness', 'distraction/inattentiveness']"
6/71966.jpg,danger,"[24.0, 307.0, 148.0, 421.0, 'inappropriate/danger/health']","['inappropriate/danger/health', 'smoking/influence/youth', 'innocence', 'abusive/confused', 'danger']"
7/123407.jpg,danger,"[7.0, 11.0, 437.0, 493.0, 'heavy/danger']","['arch', 'Sinking', 'unsinkable', 'heavy/danger', 'speed/power']"
10/173627.png,danger,"[132.0, 69.0, 371.0, 385.0, 'death / danger']","['Innovation', 'Christian/Religion', 'death', 'God, Religion', 'death / danger']"
1/163501.jpg,danger,"[432.0, 50.0, 144.0, 384.0, 'sex/sexting/danger']","['sex abuse/child', 'sex/sexting/danger', 'trend', 'Predation', 'hidden dangers']"
10/172519.png,danger,"[281.0, 56.0, 476.0, 404.0, 'danger / fear']","['danger / fear', 'cancer/danger/unhealthy', 'cancer', 'Disability', 'Cancer/Smoking/Unhealthy']"
8/12758.jpg,danger,"[136.0, 134.0, 337.0, 363.0, 'danger']","['Satisfaction', 'perfection', 'pieces', 'Fantasy', 'danger']"
1/118371.jpg,danger,"[105.0, 123.0, 308.0, 400.0, 'Danger/Safety']","['Coffee Stain', 'Danger/Safety', 'gas', 'Spill ', 'accident']"
0/100580.jpg,danger,"[252.0, 202.0, 486.0, 419.0, 'Danger/Responding']","['direction/inclusion', 'Motorola', 'Protection/Safety', 'Danger/Responding', 'All directions']"
10/172198.png,danger,"[116.0, 68.0, 385.0, 325.0, 'Danger/Fright']","['Danger/Fright', 'Dangerous', 'Thirst/Danger']"
0/127440.jpg,danger,"[236.0, 232.0, 412.0, 373.0, 'Danger']","['Danger', 'Danger', 'Safety/Protection', 'banned books/ assault weapons ok', 'freedom']"
4/135274.jpg,danger,"[245.0, 197.0, 458.0, 290.0, 'death/danger']","['harmful', 'Death', 'death/danger', 'danger', 'death']"
10/177347.png,risk,"[203.0, 271.0, 365.0, 402.0, 'health risk/ pregnancy']","['Health hazard', 'health risk/ pregnancy', 'Dangerous', 'harmful to baby', 'Secondhand smoke']"
10/171573.png,danger,"[18.0, 41.0, 500.0, 409.0, 'Danger']","['Danger', 'violence', 'death', 'death', 'death']"
1/133401.jpg,danger,"[85.0, 94.0, 452.0, 415.0, 'risk/pain/danger']","['flipped', 'risk/pain/danger', 'Failure', 'real pain', 'Failure']"
7/133397.jpg,danger,"[13.0, 162.0, 483.0, 495.0, 'Danger/Craziness']","['Danger/Craziness', 'theft', 'Robber/sour', 'sour', 'aggressive']"
7/125437.jpg,risk,"[392.0, 401.0, 130.0, 85.0, 'chance/risk']","['chance/risk', 'fun/entertaining', 'gamble', 'gamble/risk', 'gambling']"
7/42247.jpg,danger,"[140.0, 146.0, 439.0, 419.0, 'Danger/Harm']","['Injury/Death ', 'Danger/Harm', 'warning', 'pain/damage', 'danger/injury']"
10/172546.png,danger,"[310.0, 131.0, 447.0, 379.0, 'danger / additction']","['Self Mutilation/Harmful', 'danger / additction', 'Drugs/Jail', 'drug use', 'Sickness/Disease']"
9/127229.jpg,danger,"[59.0, 51.0, 427.0, 393.0, 'danger']","['danger', 'adventorous', 'Seclusion', 'adventure', 'boating/ fishing']"
2/133372.jpg,danger,"[325.0, 0.0, 494.0, 130.0, 'nature/excitment/danger']","['Sport/Snow Skiiing', 'outdoor activities', 'adventure/ excitment', 'nature/excitment/danger', 'adventure/outdoors']"
10/176440.png,danger,"[22.0, 275.0, 309.0, 450.0, 'Unhealthy/Danger']","['Fighting back/ Say no/ ', 'Unhealthy/Danger', 'Danger', 'health', 'danger']"
4/93054.jpg,danger,"[275.0, 158.0, 390.0, 311.0, 'Dairy/Danger/Harm']","['Dairy/Danger/Harm', 'Digestive', 'digestive trouble', 'upset stomach/lactose intollerance', 'digestive upset']"
0/128030.jpg,danger,"[11.0, 63.0, 486.0, 415.0, 'Death/Danger']","['death', 'death', 'Death/Danger', 'death', 'Termination']"
3/125653.jpg,danger,"[346.0, 125.0, 417.0, 324.0, 'danger']","['Self-doubt/fear', 'Body parts', 'Fear', 'danger', 'weak']"
4/69554.jpg,danger,"[21.0, 9.0, 212.0, 319.0, 'fragility/danger']","['protection', 'protection', 'pinata ', 'Fragility', 'fragility/danger']"
9/116529.jpg,danger,"[7.0, 73.0, 449.0, 494.0, 'chained/danger/peril/victim ']","['chained/danger/peril/victim ', 'Abuse/ Cruelty', 'bondage/imprisonment', 'Imprisonment', 'abuse']"
2/135112.jpg,danger,"[246.0, 318.0, 422.0, 496.0, 'danger']","['danger', 'Environmental abuse', 'pollution', 'harmful/danger', 'Pollution']"
10/171587.png,danger,"[27.0, 132.0, 294.0, 317.0, 'danger/ extinction ']","['wild nature', 'danger/ extinction ', 'environment', 'endangered', 'Danger ']"
2/135022.jpg,danger,"[106.0, 20.0, 215.0, 466.0, 'harmful/danger']","['death', 'Timer/Count down', 'cancer', 'harmful/danger', 'Lifespan']"
10/171902.png,danger,"[242.0, 161.0, 308.0, 318.0, 'danger/death']","['dangerous', 'danger/death', 'Gun ', 'gun carry  laws', 'Gun safety']"
4/100114.jpg,danger,"[379.0, 17.0, 62.0, 450.0, 'danger']","['premeditated/planned', 'sneaky', 'mischievious/happy', 'employment', 'danger']"
10/171017.png,danger,"[148.0, 41.0, 346.0, 450.0, 'danger']","['danger', 'Danger', ' save environment', 'danger', 'War']"
7/127347.jpg,danger,"[217.0, 163.0, 323.0, 219.0, 'TEXTING/DANGER']","['choice/technology', 'dangerous', 'TEXTING/DANGER', 'death', 'new']"
10/174850.png,danger,"[62.0, 38.0, 499.0, 458.0, 'danger/death/unnatural']","['Extinction/Climate change', 'Death/Global warming', 'global warming/environment', 'danger/death/unnatural', 'horror/disgust']"
10/174395.png,danger,"[0.0, 288.0, 500.0, 499.0, 'Danger/Nature']","['Unsafe', 'Danger/Nature', 'safety/caution', 'Reckless', 'economy']"
1/93061.jpg,danger,"[56.0, 49.0, 439.0, 442.0, 'danger']","['assalt/attack', 'danger', 'health/unsafe', 'pain/lactose intolerance', 'Pain']"
10/172475.png,danger,"[114.0, 91.0, 208.0, 209.0, 'head/danger']","['Time', 'Ticking time bomb', 'Speed', 'head/danger']"
10/172814.png,danger,"[65.0, 104.0, 247.0, 467.0, 'danger']","['Dangerous/Sneaky', 'respite/relaxing', 'danger', 'Art/Quirky', 'charmed']"
10/172222.png,danger,"[124.0, 55.0, 370.0, 423.0, 'trap/wildlife danger']","['Harmful/Trapped', 'animal cruelty/endangered animals', 'hour-glass/time', 'trap/wildlife danger', 'Pollution/Non-biodegradible']"
0/109380.jpg,danger,"[3.0, 4.0, 499.0, 475.0, 'Danger/Overcrowding']","['anarchy', 'Danger/Overcrowding', 'city', 'animalistic cityscape', 'Transformation']"
2/116452.jpg,danger,"[410.0, 61.0, 107.0, 421.0, 'sympathy/abuse/danger']","['sympathy/abuse/danger', 'animal rights/animal abuse', 'Animal cruelty', 'drugs/abuse', 'abuse/death']"
9/127299.jpg,danger,"[237.0, 191.0, 368.0, 374.0, 'feminine products/ danger']","['children/imagination', 'happy/entertained', 'mischief', 'childish', 'feminine products/ danger']"
5/78585.jpg,danger,"[42.0, 80.0, 397.0, 343.0, 'danger/hopeless']","['FEAR', 'danger/hopeless', 'danger', 'Ocean', 'Danger/preparedness']"
10/175034.png,danger,"[123.0, 73.0, 200.0, 210.0, 'Danger/Cinema']","['Danger/Cinema', 'Death/Power', 'parody/movie reference', 'Miracle/Untouchable', 'luck/danger']"
3/46013.jpg,danger,"[7.0, 20.0, 488.0, 469.0, 'danger']","['pills', 'patience', 'Corruption/Followers/Mindless', 'descruction/regrettable choices', 'danger']"
6/144826.jpg,danger,"[6.0, 223.0, 156.0, 500.0, 'Danger']","['Danger', 'Nature/beauty', 'Danger', 'safety', 'danger']"
0/102660.jpg,risk,"[89.0, 241.0, 433.0, 38.0, 'innocence/trouble/risk']","['size', 'innocence/trouble/risk', 'Growing', 'Change/Family', 'Reality']"
0/127720.jpg,danger,"[72.0, 141.0, 393.0, 340.0, 'danger/death']","['danger/death', 'DANGEROUS', 'Carelessness/Death', 'Safety Awareness', 'caution/safety']"
10/176277.png,danger,"[235.0, 230.0, 29.0, 76.0, 'danger']","['Heart', 'danger', 'Broken', 'limits', 'risk/danger']"
8/71728.jpg,danger,"[468.0, 188.0, 211.0, 437.0, 'Danger/Violence']","['protection', 'Contrast/Threat', 'GUN/VIOLENCE', 'Danger/Violence', 'violence']"
