pic_ID,symbol_word,symbol_coordinates,other_words
10/171043.png,desire,"[37.0, 0.0, 490.0, 358.0, 'desire']","['irresistible sexuality', 'desire', 'Passion Sex', 'sex']"
10/173762.png,desire,"[36.0, 0.0, 498.0, 361.0, 'Desire/Wanting']","['Desire/Wanting', 'sex, sexy', 'Youth/Beauty']"
10/172613.png,desire,"[104.0, 3.0, 474.0, 282.0, 'Love/Desire']","['Love/Desire', 'love', 'closeness/intimacy', 'Classy/Romance/Classic']"
10/170983.png,desire,"[417.0, 186.0, 273.0, 22.0, 'Desire']","['Desire', 'seduction', 'Desire ', 'lust']"
0/152040.jpg,desire,"[25.0, 306.0, 476.0, 479.0, 'Desire/Wants ']","['Desire/Wants ', 'adventerous', 'fun/amusement', 'Choices', 'Humor']"
10/172255.png,desire,"[18.0, 110.0, 489.0, 383.0, 'Naked/Desire']","['Naked/Desire', 'Glamour', 'Protest/Animal equality', 'Sex/Seduction']"
10/172937.png,desire,"[47.0, 170.0, 473.0, 456.0, 'trap / desire / coveting']","['Attraction/ Trap', 'Trap', 'Trap', 'trap/lure', 'trap / desire / coveting']"
4/23864.jpg,desire,"[46.0, 144.0, 482.0, 290.0, 'appeal/desire']","['appeal/desire', 'show stopping/stunning', 'sex appeal', 'brand', 'eyes/eye catching']"
3/15653.jpg,desire,"[484.0, 167.0, 29.0, 476.0, 'admiration/desire']","['admiration/desire', 'Obedience', 'mismatch/attraction ', 'housewife', 'gender stereotypes']"
10/173384.png,desire,"[49.0, 77.0, 469.0, 464.0, 'desire / deliciousness']","['Selection', 'desire / deliciousness']"
5/152435.jpg,want,"[458.0, 257.0, 28.0, 150.0, 'needed/sickness/want']","['baseketball', 'hot/upssed', 'needed/sickness/want', 'time', 'fever']"
3/103933.jpg,desire,"[106.0, 192.0, 396.0, 458.0, 'desire']","['yummy', 'sexy/chocolate/cravings', 'desire', 'strength', 'milky/rich']"
