pic_ID,symbol_word,symbol_coordinates,other_words
10/172755.png,hunger,"[162.0, 197.0, 359.0, 278.0, 'hunger']","['Delicious/Eaten', 'eaten', 'Delicious/Godd to the bone', 'hunger', 'delicious']"
8/135328.jpg,hunger,"[51.0, 19.0, 475.0, 493.0, 'hunger']","['Worldliness', 'Big Taste / Lasting Impression', 'hunger', 'environment/wild', 'complexity']"
10/174627.png,hunger,"[16.0, 164.0, 492.0, 470.0, 'Challenge/Hunger']","['Restriction', 'Challenge/Hunger', 'Fighting/angry', 'Sex/Frustration', 'sport/fitness/seduction']"
9/18869.jpg,hunger,"[61.0, 42.0, 480.0, 464.0, 'Hunger']","['Hunger', 'Togetherness ', 'craven/wild', 'sharing', 'hunger']"
10/173809.png,hunger,"[164.0, 257.0, 339.0, 398.0, 'hunger']","['hunger', 'hungry', 'eating', 'Eating ', 'Beauty/Youth']"
3/86313.jpg,hunger,"[46.0, 43.0, 260.0, 287.0, 'hunger']","['healthy/homegrown', 'abundance', 'real/fresh', 'hunger', 'natural']"
3/18913.jpg,hunger,"[153.0, 146.0, 393.0, 339.0, 'Hunger']","['Hunger', 'little red riding hood', 'delicious', 'delicious', 'hunger/ change']"
10/176889.png,hunger,"[430.0, 380.0, 89.0, 98.0, 'Hunger']","['Hamburger', 'food makeup', 'Hunger', 'Hunger/Burger', 'Healthy']"
10/171289.png,hunger,"[58.0, 34.0, 477.0, 376.0, 'hunger']","[""Can't Wait / Fast"", 'excitement', 'She likes him for bringing the pizza.', 'hunger']"
10/170891.png,hunger,"[70.59999084472656, 448.40966796875, 437.79998779296875, 495.60986328125, 'Candy/Hunger']",['Candy/Hunger']
10/173842.png,hunger,"[40.0, 212.0, 498.0, 433.0, 'Hunger/Gluttony']","['Celebration', 'Hunger/Gluttony', 'decadent/flavorful']"
1/60881.jpg,hunger,"[42.0, 100.0, 267.0, 442.0, 'Hunger']","['Hunger', 'happiness/food', 'Food', 'demographic/stereotype', 'Happiness']"
2/133902.jpg,hunger,"[95.0, 83.0, 443.0, 330.0, 'Food/Hunger']","['Food/Hunger', 'breakfast', 'real/ natural', 'innuendo/fruit', 'unwarp/undress']"
9/96249.jpg,hunger,"[321.0, 292.0, 51.0, 179.0, 'cheese/hunger']","['smiley face', 'Food', 'pig', 'Porcine', 'cheese/hunger']"
0/86440.jpg,hunger,"[34.0, 17.0, 484.0, 335.0, 'Lust/hunger']","['brand/celebrity endorsement', 'Lust/hunger', 'flavor', 'attractiveness', 'tasting']"
3/42823.jpg,desperation,"[42.0, 102.0, 437.0, 438.0, 'tragedy/despair/difficulty/hunger/desperation']","['Cute', 'neccesseties', 'tragedy/despair/difficulty/hunger/desperation', 'real person', 'Needs/ Neccesities']"
10/170303.png,hunger,"[39.0, 24.0, 437.0, 443.0, 'Sadness/hunger']","['Sadness/hunger', 'Sadness', 'ADULT BABY', 'sadness', 'humor']"
5/55085.jpg,hunger,"[4.0, 23.0, 486.0, 359.0, 'Hunger ']","['old age/ancient', 'Hunger ', 'Crisp/Aging/Renew', 'age', 'unhealthy animal']"
0/135610.jpg,hunger,"[80.0, 110.0, 349.0, 486.0, 'Strengt/Hunger']","['Food/Snack', 'Fun', 'attitude', 'strength', 'Strengt/Hunger']"
10/174698.png,hunger,"[94.0, 114.0, 416.0, 275.0, 'Competition/Hunger']","['sports/concession', 'Baseball', 'Competition/Hunger', 'american/wholesome', 'baseball/sports']"
10/176581.png,hunger,"[100.0, 113.0, 359.0, 394.0, 'hunger/cravings']","['Large/A lot of food', 'food', 'Meme', 'hunger/cravings', 'eat']"
6/113266.jpg,hunger,"[0.0, 22.0, 490.0, 219.0, 'special/deal/hunger']","['Coupon', 'Red - Heat', 'special/deal/hunger', 'food', 'Chinese food/Nature']"
9/96179.jpg,hunger,"[484.0, 93.0, 412.0, 10.0, 'hunger']","['match/competition/soccer', 'Uniqueness', 'united', 'Fresh', 'hunger']"
4/96364.jpg,hunger,"[224.0, 114.0, 377.0, 274.0, 'waking/hunger']","['waking up/morning', 'waking/hunger', 'Eating/breakfast', 'early/hunger', 'hunger']"
10/173857.png,hunger,"[49.0, 154.0, 218.0, 370.0, 'Hunger/Spicy']","['Hot/Spicy', 'southwestern/spicy', 'Hunger/Spicy']"
10/174017.png,hunger,"[195.0, 200.0, 319.0, 274.0, 'Hunger/Equality']","['Burger/Grease', 'lips', 'lips/burger', 'Hunger/Equality', 'lipstick/kiss']"
