pic_ID,symbol_word,symbol_coordinates,other_words
10/172969.png,power,"[4.0, 7.0, 231.0, 491.0, 'electricity/power']","['environment/ go green', 'Light/Energy', 'electricity/power', 'environmental']"
10/174815.png,powerful,"[60.0, 189.0, 442.0, 402.0, 'Fantasy/Powerful']","['super heroes', 'Superpowers', 'Superheroes', 'Fantasy/Powerful', 'super heros']"
7/123407.jpg,power,"[278.0, 319.0, 145.0, 53.0, 'speed/power']","['arch', 'Sinking', 'unsinkable', 'heavy/danger', 'speed/power']"
10/175162.png,power,"[53.0, 101.0, 445.0, 379.0, 'Speed/power/cold']","['Cold/Refreshing', 'Coolness', 'cold/speed', 'Speed/power/cold', 'Speedy/Fast/Cold']"
10/177459.png,power,"[91.0, 39.0, 424.0, 207.0, 'energy/power/extreme']","['Energy', 'energy/power/extreme', 'energy', 'excitement/energy', 'Power']"
7/93877.jpg,power,"[77.0, 337.0, 433.0, 105.0, 'power/violence']","['rage', 'power/violence', 'fight', 'Honor/Power/Respect', 'tough/ strong']"
8/49368.jpg,power,"[89.0, 73.0, 458.0, 369.0, 'Power/Control']","['protection', 'Power/Control', 'Tools/Power', 'accurate', 'Aim/focus']"
10/170497.png,power,"[47.0, 58.0, 445.0, 388.0, 'power/focus']","['clear image', 'soul', 'high definition', 'power/focus']"
9/27139.jpg,power,"[262.0, 40.0, 450.0, 140.0, 'Power']","['health', 'animal protien', 'Power', 'Mountains', 'Natural/Large']"
2/58432.jpg,power,"[311.0, 35.0, 497.0, 308.0, 'female power/dominance']","['FITNESS', 'sex appeal/Muscles', 'female power/dominance', 'sex/lust', 'lifestyle']"
1/92741.jpg,power,"[122.0, 0.0, 472.0, 330.0, 'girl power']","['runner', 'Energy/Mobility', 'girl power', 'shoe prints', 'inspiring']"
3/20313.jpg,power,"[298.0, 462.0, 470.0, 20.0, 'Power']","['Band/Music', 'super powers', 'bright/appealing', 'Superhuman/Skills/Sports', 'Power']"
1/70371.jpg,power,"[146.0, 84.0, 326.0, 380.0, 'power/creativity/sparkle']","['enlightment', 'hp', 'inigma', 'power/creativity/sparkle', 'you/ the consumer']"
10/172271.png,power,"[259.0, 14.0, 500.0, 451.0, 'Power/Strength']","['Energy / Fun', 'fun / martial art', 'Flavor/Kick', 'Power/Strength', 'energy/flavorful']"
4/71834.jpg,force,"[408.5, 355.9599609375, 252.25, 137.2099609375, 'abuse/force']","['Fear/intimidation', 'abuse/force', 'Threaten', 'chinese', 'Death/Soldier/Captive']"
0/111780.jpg,powerful,"[7.0, 100.0, 493.0, 361.0, 'comparison/powerful']","['Hoppiness/Taste', 'Comparison', 'quality/options', 'comparison/powerful', 'taste']"
