pic_ID,symbol_word,symbol_coordinates,other_words
4/1454.jpg,safety,"[95.0, 62.0, 431.0, 434.0, 'Speed/Tire Traction/Safety']","['Split', 'slip/banana', 'bannana ', 'slippery', 'Speed/Tire Traction/Safety']"
8/104148.jpg,safety,"[80.0, 75.0, 451.0, 448.0, 'safety']","['sugar/health/baby', 'unhealthy', 'health and eating', 'safety', 'Health']"
0/102580.jpg,security,"[96.0, 23.0, 301.0, 361.0, 'Protection/Security']","['composer', 'unifying', 'Practice', 'Family/Convenience', 'Protection/Security']"
1/118371.jpg,safety,"[105.0, 123.0, 308.0, 400.0, 'Danger/Safety']","['Coffee Stain', 'Danger/Safety', 'gas', 'Spill ', 'accident']"
0/100580.jpg,safety,"[475.0, 435.0, 196.0, 296.0, 'Protection/Safety']","['direction/inclusion', 'Motorola', 'Protection/Safety', 'Danger/Responding', 'All directions']"
0/127440.jpg,safety,"[138.0, 133.0, 446.0, 403.0, 'Safety/Protection']","['Danger', 'Danger', 'Safety/Protection', 'banned books/ assault weapons ok', 'freedom']"
1/26561.jpg,safety,"[94.0, 293.0, 371.0, 500.0, 'food safety']","['Responsible', 'food safety', 'work/labor', 'Safety and Health', 'Food']"
2/127402.jpg,safety,"[354.0, 451.0, 36.0, 155.0, 'safety']","['safety', 'safety', 'Care', 'pair/twins', 'safety']"
1/127241.jpg,safety,"[70.0, 176.0, 431.0, 465.0, 'Helmet safety awareness']","['summer time/parking lot picnic', 'Helmet safety awareness', 'human head/injury', 'Death/Protection', 'head injury/death/brain']"
10/171902.png,safety,"[227.0, 112.0, 314.0, 315.0, 'Gun safety']","['dangerous', 'danger/death', 'Gun ', 'gun carry  laws', 'Gun safety']"
10/174395.png,safety,"[232.0, 376.0, 478.0, 485.0, 'safety/caution']","['Unsafe', 'Danger/Nature', 'safety/caution', 'Reckless', 'economy']"
2/44582.jpg,safety,"[49.0, 122.0, 417.0, 345.0, 'home safety']","['home safety', 'Protection/Prevention', 'Coverage/variety ', 'Invitation', 'advertising to theft/vulnerability']"
10/170840.png,security,"[362.0, 334.0, 500.0, 420.0, 'security']","['Leisure activities', 'Oxymoron ', 'security', 'Master Card', 'Adventure']"
10/176085.png,safety,"[149.0, 97.0, 360.0, 421.0, 'safety/alcohol']","['Death/ Alcohol', 'Death', 'safety/alcohol', 'corpse', 'Death']"
6/144826.jpg,safety,"[12.0, 157.0, 313.0, 496.0, 'safety']","['Danger', 'Nature/beauty', 'Danger', 'safety', 'danger']"
8/114908.jpg,safety,"[454.0, 84.0, 86.0, 409.0, 'safety']","['new', 'Safe', 'Protected', 'safety', 'safe']"
6/127736.jpg,safety,"[134.0, 111.0, 362.0, 395.0, 'Safety']","['driving/vehicle ', 'uncoordinated/inebriated ', 'Impaired Driving', 'Safety', 'ease']"
7/41897.jpg,security,"[5.0, 8.0, 282.0, 451.0, 'security']","['Strength ', 'Happy/Content', 'awareness', 'happy/worker', 'security']"
0/127720.jpg,safety,"[71.0, 152.0, 171.0, 338.0, 'Safety Awareness']","['danger/death', 'DANGEROUS', 'Carelessness/Death', 'Safety Awareness', 'caution/safety']"
1/160221.jpg,security,"[94.0, 285.0, 414.0, 420.0, 'Security/Affordability']","['Security/Affordability', 'volvo', 'beach', 'maximum coverage little prices', 'travel/vacation']"
0/99650.jpg,safety,"[97.0, 301.0, 158.0, 495.0, 'Safety']","['Safety', 'openess/freedom', 'environment', 'safety', 'Happiness']"
2/52612.jpg,safety,"[304.0, 58.0, 173.0, 298.0, 'safety']","['protect out surroundings and life', 'Protection', 'environment/pollution', 'protection', 'safety']"
1/52501.jpg,safety,"[121.0, 54.0, 391.0, 403.0, 'safety/protection']","['Environment/Protection', 'Protection', 'Contraception / Protection', 'nature', 'safety/protection']"
3/127583.jpg,safety,"[294.0, 0.0, 497.0, 412.0, 'Safety reminder']","['Mandatory', 'Safety reminder', 'Safety/Protection', 'safety', 'necessity/required']"
1/101751.jpg,safety,"[258.0, 233.0, 321.0, 302.0, 'protection/safety']","['Worker', 'Hard work', 'Environment/Protect', 'protection/safety', 'work']"
8/3998.jpg,security,"[69.0, 67.0, 454.0, 283.0, 'Security']","['Social Media', 'Security', 'safety', 'technology', 'social media']"
10/177647.png,safety,"[79.0, 163.0, 355.0, 433.0, 'safety']","['violence', 'safety', 'Homicide', 'Danger/death', 'Gang activity']"
0/135640.jpg,safety,"[82.0, 148.0, 459.0, 367.0, 'Safety/Protection']","['danger/protection', 'DANGER', 'crash', 'Safety/Protection', 'Hardness']"
3/159043.jpg,safety,"[173.0, 172.0, 451.0, 385.0, 'safety']","['safe', 'idea creation', 'safety', 'obstacle', 'tire, protection']"
10/171910.png,safety,"[2.0, 104.0, 410.0, 399.0, 'safety colors']","['nature', 'safety colors', 'caution', 'Safety']"
1/69791.jpg,safety,"[239.0, 27.0, 500.0, 245.0, 'SAFETY']","['Future/ Modern', 'Dreamy/Immaginative', 'robotic', 'Biohazard', 'SAFETY']"
7/106417.jpg,safety,"[296.0, 85.0, 394.0, 290.0, 'Safety net']","['furniture', 'Interior Design', 'difference', 'Safety net', 'Different/Abnormal/Change']"
10/172181.png,safety,"[55.0, 107.0, 442.0, 375.0, 'Sports/Safety']","['Sports/Safety', 'Football', 'Sport/Competition', 'sandwich/food', 'food']"
0/134980.jpg,safety,"[355.0, 66.0, 92.0, 376.0, 'safety/trust']","['softness/caretaking', 'Innocence/Softness', 'Love/Family ', 'safety/trust', 'Family/Safe']"
10/176133.png,safety,"[269.0, 259.0, 353.0, 305.0, 'safety']","['safety', 'Life', 'Male genitalia', 'sex', 'Sex/energy']"
