pic_ID,symbol_word,symbol_coordinates,other_words
10/174398.png,soft,"[22.0, 156.0, 465.0, 453.0, 'natural/soft']","['Rural/Country', 'Naturalism/Nationalism', 'patriotism', 'Patriotism/Natural', 'natural/soft']"
5/103385.jpg,comfort,"[26.0, 48.0, 229.0, 282.0, 'comfort/care']","['comfort/care', 'Natural', 'gentle/sensitive', 'gentle', 'nature/mother nature']"
3/85783.jpg,comfort,"[112.0, 147.0, 246.0, 322.0, 'comfort']","['family/noise', 'comfort', 'middle of nowhere/wild/isolated', 'adventure', 'adventure']"
3/4373.jpg,comfort,"[46.0, 253.0, 250.0, 366.0, 'comfort attention']","['comfort attention', 'protection', 'shoes/high style', 'comparison/trendy/classic', 'shoes']"
7/56887.jpg,comfort,"[184.0, 250.0, 314.0, 369.0, 'warmth/comfort']","['smell', 'old fashioned/hot/steaming', 'tasty', 'warmth/comfort', 'cozy/warmth/home']"
5/95275.jpg,soft,"[150.0, 225.0, 387.0, 327.0, 'Light/ Soft']","['blended/mixed', 'Light/ Soft', 'smooth/blended', 'innovative/creative', 'soft']"
10/171453.png,comfort,"[8.0, 99.0, 493.0, 223.0, 'comfort']","['comfort', 'Old Fashioned']"
4/62554.jpg,comfort,"[83.0, 134.0, 432.0, 241.0, 'Comfort']","['Comfort', 'peace/togetherness', 'romance ', 'Love', 'history/love']"
4/103244.jpg,comfort,"[11.0, 131.0, 483.0, 429.0, 'comfort/ natural']","['Friendship', 'wild/nature', 'comfort/ natural', 'warmth', 'wild/untamed']"
7/125657.jpg,comfort,"[3.0, 166.0, 463.0, 304.0, 'comfort/softness']","['mountains/snow', 'comfortable', 'warmth', 'comfort/softness', 'adventure/ relaxation']"
0/121270.jpg,comfort,"[331.0, 243.0, 464.0, 428.0, 'Comfort']","['Exhaustion', 'What did in past ', 'journey', 'Comfort', 'affect/ concequence']"
3/21783.jpg,comfort,"[331.0, 342.0, 441.0, 402.0, 'Comfort']","['Money stress', 'mortgage', 'monster/angry/bad mood', 'stress/fear', 'Comfort']"
0/155870.jpg,comfort,"[301.0, 201.44970703125, 0.0, 4.44970703125, 'comfort/naked']","['comfort/naked', 'Men', 'Seduction/Variety', 'strength/masculinity', 'sex appeal']"
6/146156.jpg,comfort,"[201.0, 336.0, 395.0, 488.0, 'comfort']","['open wilderness', 'Nature/wilderness', 'comfort', 'warning', 'nature/outdoors']"
9/112339.jpg,soft,"[42.0, 253.0, 196.0, 394.0, 'Soft/clean shave']","['Smoothness/good grooming', 'instinct', 'suck/cute/funny', 'Soft/clean shave', 'Smothness']"
4/121374.jpg,softness,"[147.0, 125.0, 356.0, 360.0, 'Toughness/Softness']","['kindness/Mis-match', 'kind/sharing', 'odd couple', 'Toughness/Softness', 'danger']"
10/173781.png,soft,"[369.0, 257.0, 480.0, 361.0, 'soft/velvety']","['BeautyTemptress', 'Beauty', 'soft/velvety', 'Youth/Beauty']"
3/35813.jpg,comfort,"[89.0, 136.0, 416.0, 364.0, 'comfort/feminism']","['Health', 'Hearts', 'fashion', 'womaly', 'comfort/feminism']"
10/172664.png,comfort,"[273.0, 145.0, 404.0, 297.0, 'Comfort Shape/Silky']","['Comfort Shape/Silky', 'Youth/Beauty']"
8/158728.jpg,comfort,"[170.0, 104.0, 354.0, 419.0, 'comfort']","['relax', 'comfort', 'relaxation/health', 'natural', 'mud mask']"
8/137268.jpg,soft,"[37.0, 149.0, 462.0, 407.0, 'Soft/Tasty']","['large', 'Soft/Tasty', 'unique different', 'uncovered/naked', 'fruit']"
4/157584.jpg,comfort,"[156.0, 10.0, 6.0, 494.0, 'comfort']","['fashion', 'comfort', 'casual, comfortable', 'clothing/comfortable', 'fashion']"
10/173510.png,comfort,"[0.0, 0.0, 500.0, 500.0, 'Sexy/Comfort']","['youth/beauty/sex appeal', 'desire / sexuality', 'Sexy/Comfort', 'beauty/sex']"
0/65890.jpg,softness,"[153.0, 67.0, 400.0, 339.0, 'Softness/Seduction']","['Exposure', 'fragrance', 'sexual', 'Emotion', 'Softness/Seduction']"
7/52027.jpg,comfort,"[41.0, 311.0, 205.0, 404.0, 'comfort']","['Seduction', 'comfort', 'Craving/Romance', 'sexual', 'sex']"
2/87582.jpg,comfort,"[87.0, 91.0, 441.0, 408.0, 'Love / intimacy / comfort']","['Love', 'Love / intimacy / comfort', 'love', 'Love', 'love']"
5/137905.jpg,comfort,"[200.0, 361.0, 406.0, 69.0, 'Comfort']","['gift', 'Comfort', 'Disappointment ', 'Game/Playing/Innocence', 'present/ gift']"
0/134980.jpg,softness,"[385.0, 11.0, 67.0, 380.0, 'softness/caretaking']","['softness/caretaking', 'Innocence/Softness', 'Love/Family ', 'safety/trust', 'Family/Safe']"
5/58895.jpg,softness,"[308.0, 205.0, 438.0, 500.0, 'Softness/Beauty']","['Softness/Beauty', 'artful/beautiful', 'Paint / Art', 'smooth/perfect', 'beauty']"
9/133719.jpg,comfort,"[7.0, 128.0, 436.0, 397.0, 'Rustic Comfort']","['Rustic Comfort', 'Simple/Delicious', 'hunger', 'Warmth/Comfort', 'Delicious']"
10/174161.png,comfort,"[458.0, 24.0, 192.0, 419.0, 'Comfort']","['Lounging person', 'ice cream/sensuality', 'Fitness/Reward', 'whimsy', 'Comfort']"
