pic_ID,symbol_word,symbol_coordinates,other_words
10/170962.png,death,"[12.0, 372.0, 88.0, 243.0, 'death']","['endangered wildlife', 'Nature', 'death', 'nature', 'Extinction ']"
5/127945.jpg,death,"[493.0, 377.0, 332.0, 105.0, 'Danger/Death']","['mute/self consumed', 'conforming', 'Danger/Death', 'Inattentiveness', 'distraction/inattentiveness']"
8/106838.jpg,death,"[200.0, 29.919921875, 343.0, 256.919921875, 'death/suicide']","['health', 'fitness/health', 'sneakers', 'lungs', 'death/suicide']"
5/46015.jpg,death,"[77.0, 153.0, 493.0, 381.0, 'DEATH/SLAUGHTER']","['fur clothing/animal cruelty', 'animal cruelty/fur industry', 'DEATH/SLAUGHTER', 'Animal abuse', 'domesticated']"
10/173627.png,death,"[159.0, 125.0, 347.0, 342.0, 'death']","['Innovation', 'Christian/Religion', 'death', 'God, Religion', 'death / danger']"
10/174539.png,death,"[92.0, 9.0, 379.0, 301.0, 'Death/Execution']","['Death/Execution', 'Death/Punishment', 'Death/capital punishment', 'suicide', 'death/harm']"
10/173730.png,death,"[15.0, 416.0, 484.0, 487.0, 'Darkness/Death']","['Smoking/Cigarette', 'Darkness/Death']"
10/177922.png,death,"[93.0, 120.0, 360.0, 468.0, 'Death/Blood']","['animal cruelty', 'Murder', 'Violence', 'Death/Blood', 'Nature/environment']"
7/41277.jpg,suicide,"[135.0, 86.0, 390.0, 408.0, 'Suicide']","['Suicide', 'arms', 'Abuse', 'Fear/Anxiety', 'abuse/domestic violence/hidden']"
10/170915.png,death,"[248.0, 314.0, 127.0, 76.0, 'death']","['death', 'death', 'death', 'shows the results of a higher impact on the left side compared to the right side of the childs skull', 'death']"
6/48986.jpg,death,"[92.0, 54.0, 468.0, 273.0, 'percision/ death']","['percision/ death', 'Precision/point ', 'accuracy', 'cruelty', 'extiction']"
2/11962.jpg,death,"[297.0, 228.0, 192.0, 164.0, 'Injury/Death']","['consequences/drunk driving ', 'Injury/Death', 'handicapped/immobile', 'Handicapped', 'CRIPPLED']"
1/135041.jpg,death,"[26.0, 145.0, 482.0, 453.0, 'Death/Cancer']","['Death/Cancer', 'lungs', 'lungs/lung cancer', 'Cancer', 'family/health']"
10/171972.png,death,"[4.0, 213.0, 156.0, 442.0, 'cancer/death']","['sadness', 'Greif is everyone, even when not shown.', 'Sad story', 'grief', 'cancer/death']"
4/135274.jpg,death,"[32.0, 172.0, 478.0, 335.0, 'Death']","['harmful', 'Death', 'death/danger', 'danger', 'death']"
8/52778.jpg,death,"[179.0, 123.0, 299.0, 266.0, 'Pollution/Death']","['smoking', 'Deadly Behavior', 'Pollution/Death', 'health', 'Pollution/damage']"
10/171573.png,death,"[19.0, 155.0, 392.0, 418.0, 'death']","['Danger', 'violence', 'death', 'death', 'death']"
7/42247.jpg,death,"[167.0, 152.0, 372.0, 417.0, 'Injury/Death ']","['Injury/Death ', 'Danger/Harm', 'warning', 'pain/damage', 'danger/injury']"
7/134997.jpg,death,"[86.0, 185.0, 498.0, 497.0, 'Death']","['smoking', 'unhealthy', 'Smoking', 'Kills', 'Death']"
4/70034.jpg,death,"[282.0, 311.0, 208.0, 187.0, 'death']","['death', 'repellent', 'injury', 'Death/Pain', 'impact/speed']"
9/116269.jpg,death,"[16.0, 57.0, 224.0, 305.0, 'gruesomeness/death']","['victim/remains/abuse/animals', 'Violence/ Cruelty ', 'gruesomeness/death', 'Cruelty/Animal', 'cruelty']"
0/128030.jpg,death,"[82.0, 69.0, 441.0, 381.0, 'death']","['death', 'death', 'Death/Danger', 'death', 'Termination']"
8/127308.jpg,death,"[480.0, 102.0, 29.0, 370.0, 'injury/death']","['injury/death', 'Death', 'Sudden death/accident', 'heartbeat', 'death']"
1/127241.jpg,death,"[86.0, 8.0, 449.0, 358.0, 'Death/Protection']","['summer time/parking lot picnic', 'Helmet safety awareness', 'human head/injury', 'Death/Protection', 'head injury/death/brain']"
2/135022.jpg,death,"[90.0, 444.0, 22.0, 24.0, 'death']","['death', 'Timer/Count down', 'cancer', 'harmful/danger', 'Lifespan']"
10/171902.png,death,"[242.0, 161.0, 308.0, 318.0, 'danger/death']","['dangerous', 'danger/death', 'Gun ', 'gun carry  laws', 'Gun safety']"
7/127347.jpg,death,"[243.0, 154.0, 332.0, 225.0, 'death']","['choice/technology', 'dangerous', 'TEXTING/DANGER', 'death', 'new']"
10/174850.png,death,"[209.0, 48.0, 469.0, 425.0, 'Death/Global warming']","['Extinction/Climate change', 'Death/Global warming', 'global warming/environment', 'danger/death/unnatural', 'horror/disgust']"
4/71834.jpg,death,"[75.0, 116.0, 420.0, 363.0, 'Death/Soldier/Captive']","['Fear/intimidation', 'abuse/force', 'Threaten', 'chinese', 'Death/Soldier/Captive']"
6/141186.jpg,suicide,"[196.0, 67.0, 72.0, 231.0, 'suicide falling']","['FALLING', 'suicide falling', 'Flying', 'death', 'falling']"
2/116452.jpg,death,"[137.0, 72.0, 356.0, 403.0, 'abuse/death']","['sympathy/abuse/danger', 'animal rights/animal abuse', 'Animal cruelty', 'drugs/abuse', 'abuse/death']"
1/55241.jpg,death,"[461.0, 76.0, 36.0, 368.0, 'Death']","['repulsion', 'Yikes/distasteful', 'age', 'Pork/ Food', 'Death']"
10/175034.png,death,"[21.0, 39.0, 297.0, 439.0, 'Death/Power']","['Danger/Cinema', 'Death/Power', 'parody/movie reference', 'Miracle/Untouchable', 'luck/danger']"
10/176085.png,death,"[51.0, 98.0, 483.0, 491.0, 'Death/ Alcohol']","['Death/ Alcohol', 'Death', 'safety/alcohol', 'corpse', 'Death']"
9/134999.jpg,death,"[177.0, 16.0693359375, 311.0, 270.0693359375, 'Death']","['Sickness/Time', 'Time/Self harm', 'Clock', 'Death', 'Addiction']"
0/127720.jpg,death,"[72.0, 141.0, 393.0, 340.0, 'danger/death']","['danger/death', 'DANGEROUS', 'Carelessness/Death', 'Safety Awareness', 'caution/safety']"
10/172358.png,death,"[74.0, 26.0, 351.0, 250.0, 'Animal Abuse/Death']","['Animal Abuse/Death', 'Animal rights/abuse', 'death', 'Cruelty/Love', 'Death/Execution/Euthanasia']"
6/78036.jpg,death,"[98.0, 41.0, 390.0, 417.0, 'death']","['Dark/Demonic', 'death', 'death', 'death', 'fear']"
6/73236.jpg,death,"[354.0, 83.0, 462.0, 175.0, 'death']","['cold/ice', 'death', 'Rain/Deluge', 'IBM/computer/corporation', 'environment/conservation']"
3/127293.jpg,death,"[148.0, 225.0, 355.0, 380.0, 'Death/Danger']","['danger', 'danger', 'Danger', 'Death/Danger', 'suicide']"
6/96876.jpg,death,"[45.0, 191.0, 456.0, 405.0, 'death/loss/animal cruelty']","['death/loss/animal cruelty', 'Death', 'death/animal abuse', 'Dog', 'death']"
10/175094.png,death,"[139.0, 163.0, 332.0, 405.0, 'Death']","['Death', 'Hangman/game', 'Hangman/Creative Use', 'lonliness/sadness', 'Game playing']"
5/52415.jpg,death,"[37.0, 141.0, 270.0, 219.0, 'death']","['Fear', 'plead', 'danger', 'death', 'pollution']"
10/176897.png,death,"[65.0, 119.0, 453.0, 389.0, 'Death']","['Death', 'pollution', 'pollution', 'Death/Unhealthy', 'Polution']"
1/52841.jpg,death,"[64.0, 43.0, 439.0, 429.0, 'Pollution/Death']","['Pollution/Death', 'Dangerous Water', 'Nuclear Waste', 'explosion', 'bomb']"
6/159036.jpg,death,"[483.0, 186.0, 24.0, 281.0, 'injury/death']","['Social Media', 'Danger/Injury', 'Danger/texting driving', 'injury/death', 'connect/social media']"
10/172495.png,suicide,"[60.0, 20.0, 447.0, 383.0, 'suicide/climate change']","['suicide/climate change', 'danger/death/environment', 'Death/Danger', 'Death/Suicide', 'climate change']"
10/176666.png,death,"[239.0, 286.0, 392.0, 443.0, 'death']","['death', 'weakness/sickness', 'Death', 'smoking', 'Addiction']"
5/71965.jpg,death,"[125.0, 94.0, 367.0, 309.0, 'Domestic Violence/ Death']","['Domestic violence', 'Domestic Violence/ Death', 'abuse/death/commitment ', 'suicide', 'abuse']"
3/135323.jpg,death,"[33.0, 72.0, 458.0, 461.0, 'DEATH/SMOKING']","['durgs/smoking', 'DEATH/SMOKING', 'burden/destruction/harm', 'Weak/Frail', 'Burden']"
8/116348.jpg,death,"[457.0, 372.0, 3.0, 36.0, 'Death / Abuse']","['ABUSE/VERBAL ABUSE', 'Death / Abuse', 'PETA', 'Abuse ', 'abuse']"
3/46253.jpg,death,"[404.0, 289.0, 201.0, 60.0, 'Danger/Violence/death']","['Violence', 'murder', 'Danger/Violence/death', 'Violence / Death', 'Killing Nature']"
6/127266.jpg,death,"[426.0, 369.0, 338.0, 151.0, 'death']","['death', 'Death', 'danger', 'death', 'death']"
1/164261.jpg,death,"[93.0, 97.0, 400.0, 393.0, 'gun/death']","['gun/death', 'danger', 'Self Harm', 'danger/smoking', 'harmful/deteriorating']"
6/135086.jpg,death,"[15.0, 24.0, 278.0, 500.0, 'heaven/death']","['Smoking/Health', 'heaven/death', 'danger', 'smoking kills', 'abusive']"
10/177647.png,death,"[403.0, 435.0, 9.0, 311.0, 'Danger/death']","['violence', 'safety', 'Homicide', 'Danger/death', 'Gang activity']"
0/127910.jpg,death,"[91.0, 71.0, 341.0, 318.0, 'danger/death']","['danger/death', 'attention', 'Attention/Danger/Death', 'dangerous', 'Distraction']"
0/135070.jpg,death,"[127.0, 45.0, 438.0, 410.0, 'Death/Homophobia']","['homosexuality', 'Ill Decisions', 'Death/Homophobia', 'addiction', 'sex/relationships']"
10/177564.png,death,"[290.0, 224.0, 193.0, 0.0, 'death']","['death', 'environment', 'lightbulb noose/death', 'suicide', 'Suicide']"
2/10412.jpg,death,"[149.0, 21.0, 298.0, 243.0, 'Death']","['Death', 'party', 'reincarnation', 'drunk', 'angel/devil']"
5/127235.jpg,death,"[136.0, 55.0, 447.0, 317.0, 'Violence/Death']","['Safe driving', 'reality', 'accident', 'Violence/Death', 'death/pain']"
10/175026.png,death,"[215.0, 170.0, 436.0, 344.0, 'Death/Injury']","['Worry', 'Death/Injury', 'aging/damage', 'Stress/Life', 'accident']"
10/176590.png,death,"[339.0, 168.0, 164.0, 209.0, 'death']","['Never finished/died', 'texting', 'Crash', 'danger', 'death']"
10/176026.png,death,"[387.0, 293.0, 109.0, 140.0, 'Gun violence/Child death']","['gun/violence', 'Violence', 'Violence', 'Violence', 'Gun violence/Child death']"
4/123374.jpg,death,"[299.0, 447.0, 161.0, 393.0, 'death/danger']","['Literal', 'death/danger', 'dark humor', 'Injury/Death', 'death']"
9/15499.jpg,death,"[82.0, 47.0, 415.0, 463.0, 'Death']","['Death', 'smoking/danger', 'illness/smoking', 'heart disease/smoking', 'death']"
2/135212.jpg,death,"[293.0, 40.0, 489.0, 241.0, 'danger/death']","['danger/death', 'Self harm', 'death/suicide', 'harmful/danger/suicide', 'Suicide']"
3/66733.jpg,death,"[38.0, 44.0, 469.0, 351.0, 'Death/Infection']","['Death/Infection', 'unhealthy/death/unsafe', 'death', 'Danger/Death', 'germs, control disease, be aware']"
0/120790.jpg,death,"[125.0, 83.0, 414.0, 258.0, 'danger/death']","['doom', 'danger/death', 'hunting', 'help', 'danger']"
6/10466.jpg,death,"[18.0, 146.0, 482.0, 267.0, 'Death/Wanting']","['dying of thirst', 'Death/Wanting', 'death', 'Death', 'valued']"
10/174227.png,death,"[91.0, 88.0, 265.0, 418.0, 'Death/Environment']","['Death/Environment', 'murder', 'Danger/Extinction', 'death', 'pressure/murder']"
