pic_ID,symbol_word,symbol_coordinates,other_words
10/173529.png,fun,"[189.0, 19.0, 488.0, 250.0, 'Fun/Excitement']","['Childhood/Nursery Rhymes', 'Excitement/Peppiness', 'Fun/Excitement', 'distraction']"
10/170470.png,fun,"[12.0, 213.0, 187.0, 409.0, 'nature fun']","['real milk', 'nature fun', 'popular', 'fun', 'mixing']"
10/172907.png,fun,"[3.0, 2.0, 500.0, 237.0, 'Fun/Amazing']","['Freedom/Childhood', 'Fun/Amazing', 'Fun/Party']"
1/24481.jpg,fun,"[42.0, 24.0, 425.0, 437.0, 'fun']","['Energy', 'Athleticism', 'catch', 'Winning', 'fun']"
10/175322.png,fun,"[30.0, 18.0, 257.0, 471.0, 'yo-yo/dunking/fun']","['yoyo/dipping', 'Yoyo', 'yoyo', 'yo-yo/dunking/fun', 'Playfulness/Dunking']"
0/165240.jpg,fun,"[167.0, 74.0, 488.0, 371.0, 'Different/Fun']","['Beauty', 'Pink', 'mix/match', 'playful', 'Different/Fun']"
10/172164.png,fun,"[23.0, 114.0, 436.0, 319.0, 'Fun/Toy']","['Fun/Toy', 'heart / life', 'game/toy', 'excitement', 'cardio/health']"
8/139978.jpg,fun,"[396.0, 10.0, 13.0, 210.0, 'Fun / Humor']","['Fun / Humor', 'party/relax/chill', 'relaxing/leisure', 'indulgance', 'Satisfaction']"
10/173717.png,exciting,"[3.0, 7.0, 496.0, 321.0, 'achievement/celebrated/exciting']","['Graffiti/Post', 'sports', 'achievement/celebrated/exciting', 'adventure', 'Ireland']"
10/172012.png,fun,"[10.0, 10.0, 446.0, 490.0, 'Fashion/Fun']","['Stylish/Beauty', 'Beauty/Energy/Style', 'Fashion/Fun']"
10/172979.png,fun,"[0.0, 0.0, 478.0, 433.0, 'fun/active/popular/stylish']","['Cool', 'Cool/Airy', 'fun/active/popular/stylish', 'Fun/Energy']"
10/170607.png,fun,"[326.0, 320.0, 477.0, 439.0, 'fun']","['food/nourishment', 'food', 'fun']"
0/152040.jpg,amusement,"[20.0, 313.0, 483.0, 490.0, 'fun/amusement']","['Desire/Wants ', 'adventerous', 'fun/amusement', 'Choices', 'Humor']"
8/39958.jpg,fun,"[19.39999771118164, 283.75, 269.79998779296875, 148.5498046875, 'Clean/Fun']","['difficulty', 'Clean/Fun', 'braille/feeling', 'sensitivity', 'touch']"
10/172767.png,fun,"[38.0, 135.0, 478.0, 333.0, 'Funny/Fun']","['Funny/Fun', 'coffee']"
6/10006.jpg,fun,"[81.0, 60.0, 448.0, 414.0, 'beer/fun']","['pool/beer', 'tasty', 'beer', 'beer/fun', 'Drinking/Playing']"
6/102446.jpg,fun,"[28.0, 37.0, 453.0, 419.0, 'fun']","['Musician/DJ', 'fun', 'mic', 'sing', 'nutty']"
4/82744.jpg,fun,"[129.0, 102.0, 453.0, 470.0, 'Explosiveness/fun']","['Explosive', 'firecracker/explosion', 'crunchy', 'Explosiveness/fun', 'explosive/loud/fun/holiday']"
10/171970.png,fun,"[338.0, 385.0, 458.0, 499.0, 'Fun/Love']","['exploration, discovery', 'Fun/Love', 'Future']"
7/120017.jpg,fun,"[33.0, 117.0, 464.0, 252.0, 'fun']","['smile', 'fun', 'happiness', 'Happiness/Cheesiness', 'Elegant/Simple']"
7/125437.jpg,fun,"[204.0, 1.0, 443.0, 204.0, 'fun/entertaining']","['chance/risk', 'fun/entertaining', 'gamble', 'gamble/risk', 'gambling']"
4/145504.jpg,fun,"[51.0, 101.0, 279.0, 447.0, 'fun']","['Sex', 'joy', 'fun', 'domination', 'Lucky']"
8/149398.jpg,fun,"[118.0, 114.0, 242.0, 352.0, 'fun times']","['vacation', 'fun times', 'mickey', 'relax/ fun/ vacation', 'Logo/Disney']"
6/38966.jpg,fun,"[129.0, 82.0, 461.0, 339.0, 'fun']","['Stupid', 'silly/entrapment', 'Mindlessness', 'fun', 'stupid']"
10/172440.png,exciting,"[5.0, 8.0, 487.0, 496.0, 'celebration/special/exciting']","['Holiday/Christmas', 'celebration/special/exciting', 'Christmas/gifts', 'Christmas', 'holiday']"
8/121848.jpg,fun,"[75.0, 38.0, 469.0, 458.0, 'party/fun']","['Comedy/jokes', 'party/fun', 'meme', 'music', 'Surreal']"
9/38839.jpg,fun,"[426.0, 342.0, 35.0, 83.0, 'Fun/Immaturity']","['stupidity', 'silly/happy/smiling ', 'Fun/Immaturity', 'silly', 'silly']"
3/37443.jpg,fun,"[146.0, 162.0, 320.0, 280.0, 'Imagination/Fun']","['adventure', 'Imagination/Fun', 'adventure', 'dream/imagination', 'Imagination']"
1/158961.jpg,fun,"[293.0, 69.0, 420.0, 300.0, 'speed/fun']","['Doll house', 'Rapidity/transportation', 'Elegant Model', 'speed/fun', 'change']"
