pic_ID,symbol_word,symbol_coordinates,other_words
2/19752.jpg,humor,"[409.0, 309.0, 104.0, 67.0, 'Humor']","['Humor', 'soothing', 'Nature', 'natural honey', 'natural']"
8/139978.jpg,humor,"[396.0, 10.0, 13.0, 210.0, 'Fun / Humor']","['Fun / Humor', 'party/relax/chill', 'relaxing/leisure', 'indulgance', 'Satisfaction']"
0/152040.jpg,humor,"[22.0, 3.0, 215.0, 496.0, 'Humor']","['Desire/Wants ', 'adventerous', 'fun/amusement', 'Choices', 'Humor']"
10/170398.png,humor,"[141.0, 134.0, 455.0, 479.0, 'quirky humor ']","['Unwrap', 'real self', 'quirky humor ', 'ELDERLY']"
10/170213.png,humor,"[182.0, 194.0, 480.0, 500.0, 'humor quality edginess']","['funny', 'piss', 'humor quality edginess']"
6/82986.jpg,humor,"[488.0, 413.0, 243.0, 245.0, 'Humor']","['New Generation/Nudity', 'Old and new', 'Humor', 'carefree/ wild/ childlike', 'sporty']"
1/92021.jpg,humor,"[192.0, 85.0, 439.0, 285.0, 'Humor']","['invention', 'Inventor', 'Smart/Wise', 'Humor', 'innovation']"
10/171544.png,humor,"[331.0, 276.0, 36.0, 437.0, 'youthful humor overindulgence']","['Stress eating', 'disappointment', 'youthful humor overindulgence', 'Bullies', 'stress']"
4/145064.jpg,parody,"[14.0, 2.0, 491.0, 176.0, 'Parody/Durability']","['Chocolate', 'shoe', 'shoes', 'waiting to tie', 'Parody/Durability']"
0/68330.jpg,humor,"[153.0, 107.0, 390.0, 329.0, 'humor']","['Funny', 'Defiance/Rudeness', 'humor', 'Humor', 'humor']"
10/175034.png,parody,"[36.0, 49.0, 184.0, 257.0, 'parody/movie reference']","['Danger/Cinema', 'Death/Power', 'parody/movie reference', 'Miracle/Untouchable', 'luck/danger']"
2/140862.jpg,humor,"[95.0, 110.0, 412.0, 268.0, 'Humor/Misdirection']","['Marketing', 'attraction/want', 'sex gets attention', 'Desire', 'Humor/Misdirection']"
2/83232.jpg,humor,"[228.0, 470.0, 10.0, 263.0, 'Humor']","['Humor', 'icecream', 'Sacrifice ', 'Sacrifice', 'Pain/Suffering']"
8/59878.jpg,humor,"[448.0, 367.0, 56.0, 14.0, 'Cycle/odd/humor']","['Chase/bite', 'Cycle/odd/humor', 'perpetual motion', 'Persuit', 'Determination.']"
7/105387.jpg,humor,"[35.0, 262.0, 453.0, 366.0, 'Humor/Moisture']","['Egypt', 'Beauty', 'dry', 'Rough skin/Dry skin', 'Humor/Moisture']"
10/174580.png,humor,"[245.0, 47.0, 393.0, 173.0, 'Humor']","['Humor', 'Fun/Fitness', 'Belly laughs', 'no symbolism detected', 'Comedy/Impossible']"
1/133391.jpg,humor,"[255.0, 115.0, 371.0, 377.0, 'humor mash-up']","['hangar', 'skking/transportation', 'Ski lift', 'humor mash-up', 'Skiing']"
2/5882.jpg,humor,"[384.0, 406.0, 126.0, 35.0, 'Humor']","['Shopping', 'Humor', 'hope', 'bird is an odd purchase', 'Genie/ Lamp']"
10/170303.png,humor,"[96.0, 151.0, 378.0, 270.0, 'humor']","['Sadness/hunger', 'Sadness', 'ADULT BABY', 'sadness', 'humor']"
1/51081.jpg,parody,"[8.0, 47.0, 161.0, 203.0, 'celebrity parody']","['Academy Awards', 'oscar', 'Oscars', 'oscars/awares', 'celebrity parody']"
10/171483.png,humor,"[101.0, 96.0, 414.0, 428.0, 'quirky humor inclusive']","['Well endowed male', 'quirky humor inclusive', 'bigger/longer', 'covered', 'less freedom']"
2/14552.jpg,humor,"[53.0, 167.0, 170.0, 279.0, 'Humor']","['verabl abuse', 'Family time', 'Humor', 'Nutrition/Food', 'family dinner']"
10/175261.png,humor,"[130.0, 134.0, 388.0, 216.0, 'humor/pop culture']","['Farm fresh', 'beef', 'Environment/Anger', 'humor/pop culture', 'Star Wars/Entertainment']"
0/137340.jpg,humor,"[276.0, 94.0, 323.0, 131.0, 'humor']","['humor', 'fun/good/treat', 'messy', 'Filth', 'Choice/Whimsical/Funny/Parenthood']"
4/123374.jpg,humor,"[100.0, 104.0, 339.0, 322.0, 'dark humor']","['Literal', 'death/danger', 'dark humor', 'Injury/Death', 'death']"
0/79420.jpg,humor,"[46.0, 97.0, 493.0, 398.0, 'Teasing/Humor']","['Pets ', 'Playfulness/ Rivalry', 'Autumn ', 'Teasing/Humor', 'Funny']"
10/174290.png,humor,"[158.0, 43.0, 332.0, 389.0, 'Comical/humor/Funny']","['Sandwich', 'Fitness/Sex', 'sandwich', 'sandwich', 'Comical/humor/Funny']"
0/69710.jpg,humor,"[444.0, 298.0, 62.0, 131.0, 'Humor ']","['Humor ', ""'life/choices'"", 'Family', 'babies', 'family']"
0/111120.jpg,humor,"[18.0, 19.0, 245.0, 301.0, 'Humor']","['colorful', 'gay', 'Humor', 'funny/entertainment', 'Colorfulness/Happiness']"
10/171673.png,humor,"[1.0, 12.0, 492.0, 434.0, 'humor']","['Choices ', 'left right', 'humor']"
1/157921.jpg,humor,"[161.0, 76.0, 322.0, 307.0, 'Humor']","['Uncovered', 'Humor', 'Free/Publicity', 'body', 'Infection']"
10/176269.png,humor,"[190.0, 47.0, 469.0, 424.0, 'humor/bad food']","['Bad Food', 'zombie', 'Monster', 'monster', 'humor/bad food']"
3/160133.jpg,humor,"[13.0, 146.0, 483.0, 401.0, 'Humor/Blandness']","['safe/conservative', 'SMART', 'ads/education', 'practical', 'Humor/Blandness']"
10/170672.png,humor,"[141.0, 301.0, 297.0, 418.0, 'humor']","['Eager', 'spicy chicken', 'Cow signage', 'Fire', 'humor']"
3/131533.jpg,humor,"[57.0, 85.0, 420.0, 391.0, 'Clown / Humor']","['clown', 'Clown / Humor', 'clown', 'control ', 'refined/class']"
1/68571.jpg,humor,"[60.0, 169.0, 229.0, 243.0, 'humor']","['Women / Sports', 'underwear for ladies', 'Silly/humorous/exposed', 'playing', 'humor']"
9/78559.jpg,humor,"[66.0, 193.0, 459.0, 352.0, 'Humor']","['food chain/health', 'dangerous', 'Outrun/Physically fit/Faster/Healthy/Survival/Longevity', 'Danger', 'Humor']"
5/96905.jpg,humor,"[78.0, 143.0, 232.0, 268.0, 'humor/proverb recognition']","['Learning/Skills', 'curiosity', 'humor/proverb recognition', 'Cat/Curiosity', 'death']"
5/80335.jpg,humor,"[98.0, 183.0, 333.0, 344.0, 'HUMOR']","['HUMOR', 'metropolitan', 'oxymoron', 'signs', 'Restlessness']"
10/170295.png,humor,"[181.0, 236.0, 331.0, 396.0, 'humor']","['Surprise', 'surprise ', 'humor']"
5/45905.jpg,humor,"[18.0, 64.0, 245.0, 321.0, 'illusion/humor']","['danger/death', 'illusion/humor', 'harm', 'eating animals', 'joke']"
0/159240.jpg,humor,"[74.0, 19.0, 421.0, 394.0, 'Humor']","['nimble', 'Humor', 'shaving', 'Ruggedness/Refinement', 'Fashion/Style']"
3/82103.jpg,humor,"[25.0, 144.0, 315.0, 359.0, 'Humor']","['Compact', 'Humor', 'dangerous', 'vehicle', 'lion']"
5/13345.jpg,humor,"[219.0, 266.0, 60.0, 55.0, 'humor']","['Excitement', 'fast/fun/excitement', 'speed', 'humor', 'Fun/Driving']"
10/170315.png,humor,"[89.0, 79.0, 397.0, 493.0, 'tough female humor']","['triumphant eating', 'tough female humor', 'BATTLE MOM', 'Armor']"
10/170083.png,humor,"[161.0, 430.0, 16.0, 153.0, 'Humor']","['party', 'Drinking, alcohol', 'dialogue', 'Humor']"
8/107588.jpg,humor,"[0.0, 79.0, 395.0, 252.0, 'humor']","['liar', 'Lying', 'humor', 'liar', 'liar']"
