pic_ID,symbol_word,symbol_coordinates,other_words
7/41477.jpg,abuse,"[0.0, 17.0, 468.0, 484.0, 'violence/abuse']","['violence/abuse', 'abuse/violence', 'abuse/women/violence', 'abuse/hurt/anyone', 'abuse/violence']"
5/46015.jpg,abuse,"[453.0, 391.0, 56.0, 155.0, 'Animal abuse']","['fur clothing/animal cruelty', 'animal cruelty/fur industry', 'DEATH/SLAUGHTER', 'Animal abuse', 'domesticated']"
2/41252.jpg,abuse,"[159.0, 130.0, 374.0, 315.0, 'Abuse/violence']","['Abuse/violence', 'Violence/Abuse', 'job versus family ', 'Physical abuse/Violence', 'Domestic violence']"
1/163501.jpg,abuse,"[415.0, 491.0, 496.0, 389.0, 'sex abuse/child']","['sex abuse/child', 'sex/sexting/danger', 'trend', 'Predation', 'hidden dangers']"
10/177922.png,violence,"[96.0, 55.0, 199.0, 292.0, 'Violence']","['animal cruelty', 'Murder', 'Violence', 'Death/Blood', 'Nature/environment']"
10/170691.png,abuse,"[415.0, 369.0, 112.0, 183.0, 'abuse']","['abuse', 'silence ', 'bandaid', 'children, defenseless ', 'crossed']"
10/176400.png,violence,"[107.0, 67.0, 442.0, 400.0, 'Violence']","['helpless/needy', 'Violence', 'abandoned', 'Environment/Help', 'Waiting']"
7/41277.jpg,abuse,"[139.0, 101.0, 463.0, 442.0, 'Abuse']","['Suicide', 'arms', 'Abuse', 'Fear/Anxiety', 'abuse/domestic violence/hidden']"
6/18186.jpg,abuse,"[7.0, 80.44970703125, 120.0, 197.44970703125, 'Verbal Abuse']","['Verbal Abuse', 'abuse', 'harmful', 'verbal abuse', 'abuse']"
10/176966.png,abuse,"[432.0, 336.0, 294.0, 167.0, 'Physical Abuse']","['Physical Abuse', 'Abuse', 'Violence', 'One more word', 'abuse']"
7/93877.jpg,violence,"[77.0, 337.0, 433.0, 105.0, 'power/violence']","['rage', 'power/violence', 'fight', 'Honor/Power/Respect', 'tough/ strong']"
10/171573.png,violence,"[7.0, 19.0, 471.0, 352.0, 'violence']","['Danger', 'violence', 'death', 'death', 'death']"
6/45856.jpg,abuse,"[432.0, 76.0, 244.0, 233.0, 'abuse']","['fashion', 'Makeup/cover', 'gross/injured', 'abuse', 'abuse/pain']"
1/116421.jpg,abuse,"[349.0, 325.0, 255.0, 186.0, 'Animal abuse/Torture']","['Animal cruelty', 'suffering/animal rights', 'Animal abuse/Torture', 'Abuse/ Sadness.', 'violence ']"
5/35655.jpg,abuse,"[14.0, 88.8994140625, 467.0, 453.8994140625, 'Verbal Abuse/Cyber Bully']","['Verbal Abuse/Cyber Bully', 'bullying', 'cyber bully', 'cyberbullying', 'Sad/Bullied']"
9/116269.jpg,abuse,"[229.0, 328.0, 6.0, 25.0, 'victim/remains/abuse/animals']","['victim/remains/abuse/animals', 'Violence/ Cruelty ', 'gruesomeness/death', 'Cruelty/Animal', 'cruelty']"
10/174330.png,violence,"[143.0, 0.0, 276.0, 322.0, 'violence/rape']","['Violation', 'Rape/Attack', 'violence/rape', 'assault/aggression', 'Rape/Violence']"
10/174737.png,violence,"[231.0, 158.0, 392.0, 418.0, 'Violence/Injury']","['Car accident', 'Violence/Injury', 'abuse', 'violence/collision ', 'Impact/Injury']"
10/174797.png,violence,"[23.0, 31.0, 470.0, 401.0, 'violence']","['puzzle', 'Online dating', 'people/humanity', 'Love/Diversity', 'violence']"
9/116529.jpg,abuse,"[49.0, 23.0, 437.0, 492.0, 'Abuse/ Cruelty']","['chained/danger/peril/victim ', 'Abuse/ Cruelty', 'bondage/imprisonment', 'Imprisonment', 'abuse']"
2/135112.jpg,abuse,"[246.0, 484.0, 440.0, 2.0, 'Environmental abuse']","['danger', 'Environmental abuse', 'pollution', 'harmful/danger', 'Pollution']"
4/41354.jpg,abuse,"[55.0, 144.0, 441.0, 424.0, 'physical abuse/violence']","['Unique/personality', 'Sadness', 'physical abuse/violence', 'Art ', 'womanly']"
10/173148.png,abuse,"[314.0, 122.0, 387.0, 189.0, 'Physical Abuse/Violence']","['Physical Abuse/Violence', 'domestic violence', 'Abuse', 'Abuse/Violence', 'violence']"
4/17904.jpg,abuse,"[251.0, 89.0, 430.0, 273.0, 'bullying/abuse']","['Bullying/Embarrassment', 'embarassment/shame', 'bullies', 'Broken', 'bullying/abuse']"
